condominio,iptu,area,qtd_quartos,qtd_vagas,qtd_banheiros,aluguel
1200,450,170,3,2,3,5500
490,110,50,2,1,1,900
250,190,45,1,1,2,1200
656,190,57,2,1,2,1409
380,190,55,2,2,2,649
490,190,62,3,1,2,1100
350,190,60,2,2,1,1300
218,190,90,3,1,2,1500
785,250,68,2,2,2,2600
290,190,50,2,1,1,1100
350,285,45,2,1,1,700
280,463,48,2,1,1,1200
164,190,50,2,1,1,650
218,400,65,2,1,2,2600
340,190,62,3,2,2,1700
805,190,70,2,2,3,2500
490,190,83,2,1,2,1300
391,108,62,3,2,2,1400
612,190,66,2,1,2,3600
278,190,48,2,1,1,1500
250,190,75,3,1,2,850
295,190,44,2,2,2,1100
100,190,65,2,2,2,800
130,500,56,2,1,2,655
218,500,65,4,2,3,1200
490,500,62,2,1,2,1390
180,510,100,3,1,2,1200
218,500,70,2,1,2,3600
490,500,60,2,2,3,2300
650,120,65,2,2,1,2000
180,500,43,2,1,1,650
310,120,49,2,1,2,1600
600,120,48,2,1,1,3500
208,500,110,2,1,1,700
530,156,78,2,2,1,3300
335,120,61,2,1,2,1600
218,500,52,2,1,2,900
468,828,60,3,2,2,1600
588,1104,87,3,2,2,2600
218,500,41,2,1,1,950
446,500,45,2,1,2,1000
502,500,65,3,2,2,1650
350,500,54,3,2,2,1400
360,500,70,3,1,3,1200
448,500,63,3,2,2,809
218,500,55,2,1,2,700
505,500,72,3,2,2,3000
505,320,72,3,2,2,3100
594,671,68,2,2,2,2360
350,120,50,2,1,2,1000
218,600,60,2,1,1,1009
490,390,60,3,1,2,850
550,890,64,3,1,3,1100
218,765,52,2,1,2,1250
490,432,70,2,1,2,1200
317,111,62,2,1,1,800
230,234,47,2,1,1,1000
370,456,60,2,1,1,850
300,678,62,2,1,2,950
550,95,68,2,2,2,3080
550,250,64,3,2,2,2350
390,250,63,3,1,2,1310
270,250,45,2,1,1,900
270,250,48,2,1,1,900
400,250,78,3,2,2,600
500,297,54,2,1,2,850
529,73,55,2,1,2,2600
1150,177,160,4,3,3,3000
547,250,106,3,2,3,3300
556,120,53,1,1,1,1800
550,250,65,2,1,2,1700
330,250,51,2,1,2,1250
390,250,65,3,1,2,1600
